ix	type	id	bnf_code	nm	form_route
0	amp	2936511000001108	0304010A0BBAAAA	Semprex 8mg capsules (GlaxoSmithKline UK Ltd)	capsule.oral
1	amp	2937311000001104	0304010A0BCAAAA	Benadryl Allergy Relief 8mg capsules (McNeil Products Ltd)	capsule.oral
2	amp	875411000001108	0304010A0BCABAC	Benadryl Allergy Relief Plus Decongestant capsules (McNeil Products Ltd)	capsule.oral
3	amp	4540511000001105	0304010AGBBAAAA	Zaditen 1mg capsules (Novartis Pharmaceuticals UK Ltd)	capsule.oral
4	amp	36451211000001102	0304010F0AAAEAE	Brompheniramine 12mg capsules (Special Order)	capsule.oral
5	amp	20344111000001109	0304010I0BEAEAD	Benadryl Allergy Liquid Release 10mg capsules (McNeil Products Ltd)	capsule.oral
6	amp	8748011000001100	0603010I0AAAJAJ	Fludrocortisone 50microgram capsules (Special Order)	capsule.oral
7	amp	8748411000001109	0603020F0AAAKAK	Cortisone 5mg capsules (Special Order)	capsule.oral
8	amp	24569711000001102	0603020G0AABYBY	Dexamethasone 10mg capsules (Special Order)	capsule.oral
9	amp	31138811000001105	0603020G0AACECE	Dexamethasone 400microgram capsules (Special Order)	capsule.oral
10	amp	15524111000001100	0603020J0AAA5A5	Hydrocortisone 2.5mg capsules (Special Order)	capsule.oral
11	amp	3807811000001103	0105020A0BCAAAC	Budenofalk 3mg gastro-resistant capsules (Dr. Falk Pharma UK Ltd)	capsulegastro-resistant.oral
12	amp	3765811000001105	0105020A0BBAAAA	Entocort CR 3mg capsules (Tillotts Pharma Ltd)	capsulemodified-release.oral
13	amp	22171311000001107	0304010F0BCAAAD	Dimegan 12mg modified-release capsules (Imported (France))	capsulemodified-release.oral
14	amp	375111000001101	0107020J0BBAAAA	Anugesic HC cream (Pfizer Ltd)	cream.cutaneous
15	amp	279511000001103	1304000V0AAACAC	Hydrocortisone 0.5% cream (Kent Pharmaceuticals Ltd)	cream.cutaneous
16	amp	300411000001105	1304000V0AAACAC	Hydrocortisone 0.5% cream (A A H Pharmaceuticals Ltd)	cream.cutaneous
17	amp	424011000001105	1304000V0AAACAC	Hydrocortisone 0.5% cream (Actavis UK Ltd)	cream.cutaneous
18	amp	882311000001100	1304000V0AAACAC	Hydrocortisone 0.5% cream (Alliance Healthcare (Distribution) Ltd)	cream.cutaneous
19	amp	912211000001103	1304000V0AAACAC	Hydrocortisone 0.5% cream (The Boots Company Plc)	cream.cutaneous
20	amp	4193011000001109	1304000V0AAACAC	Hydrocortisone 0.5% cream (Teva UK Ltd)	cream.cutaneous
21	amp	14943211000001105	1304000V0AAACAC	Hydrocortisone 0.5% cream (Essential Generics Ltd)	cream.cutaneous
22	amp	17921511000001103	1304000V0AAACAC	Hydrocortisone 0.5% cream (Phoenix Healthcare Distribution Ltd)	cream.cutaneous
23	amp	22043111000001103	1304000V0AAACAC	Hydrocortisone 0.5% cream (Waymade Healthcare Plc)	cream.cutaneous
24	amp	24150111000001105	1304000V0AAACAC	Hydrocortisone 0.5% cream (DE Pharmaceuticals)	cream.cutaneous
25	amp	29871611000001103	1304000V0AAACAC	Hydrocortisone 0.5% cream (Sigma Pharmaceuticals Plc)	cream.cutaneous
26	amp	37087611000001107	1304000V0AAACAC	Hydrocortisone 0.5% cream (Mawdsley-Brooks & Company Ltd)	cream.cutaneous
27	amp	131211000001103	1304000V0AAADAD	Hydrocortisone 1% cream (Alliance Healthcare (Distribution) Ltd)	cream.cutaneous
28	amp	561211000001104	1304000V0AAADAD	Hydrocortisone 1% cream (Kent Pharmaceuticals Ltd)	cream.cutaneous
29	amp	623911000001105	1304000V0AAADAD	Hydrocortisone 1% cream (A A H Pharmaceuticals Ltd)	cream.cutaneous
30	amp	723111000001100	1304000V0AAADAD	Hydrocortisone 1% cream (Actavis UK Ltd)	cream.cutaneous
31	amp	745111000001101	1304000V0AAADAD	Hydrocortisone 1% cream (Vantage)	cream.cutaneous
32	amp	4193211000001104	1304000V0AAADAD	Hydrocortisone 1% cream (Teva UK Ltd)	cream.cutaneous
33	amp	7932411000001105	1304000V0AAADAD	Hydrocortisone 1% cream (Lloyds Pharmacy Ltd)	cream.cutaneous
34	amp	13623011000001104	1304000V0AAADAD	Hydrocortisone 1% cream (Pinewood Healthcare)	cream.cutaneous
35	amp	13662511000001108	1304000V0AAADAD	Hydrocortisone 1% cream (Numark Ltd)	cream.cutaneous
36	amp	14943511000001108	1304000V0AAADAD	Hydrocortisone 1% cream (Essential Generics Ltd)	cream.cutaneous
37	amp	17200011000001107	1304000V0AAADAD	Hydrocortisone 1% cream (Sovereign Medical Ltd)	cream.cutaneous
38	amp	17921811000001100	1304000V0AAADAD	Hydrocortisone 1% cream (Phoenix Healthcare Distribution Ltd)	cream.cutaneous
39	amp	18282711000001102	1304000V0AAADAD	Hydrocortisone 1% cream (Strides Pharma UK Ltd)	cream.cutaneous
40	amp	20324211000001100	1304000V0AAADAD	Hydrocortisone 1% cream (Genesis Pharmaceuticals Ltd)	cream.cutaneous
41	amp	22454211000001100	1304000V0AAADAD	Hydrocortisone 1% cream (Waymade Healthcare Plc)	cream.cutaneous
42	amp	24150511000001101	1304000V0AAADAD	Hydrocortisone 1% cream (DE Pharmaceuticals)	cream.cutaneous
43	amp	29872011000001102	1304000V0AAADAD	Hydrocortisone 1% cream (Sigma Pharmaceuticals Plc)	cream.cutaneous
44	amp	30206711000001104	1304000V0AAADAD	Hydrocortisone 1% cream (Mawdsley-Brooks & Company Ltd)	cream.cutaneous
45	amp	112311000001108	1304000V0AAAFAF	Hydrocortisone 2.5% cream (A A H Pharmaceuticals Ltd)	cream.cutaneous
46	amp	253211000001100	1304000V0AAAFAF	Hydrocortisone 2.5% cream (Kent Pharmaceuticals Ltd)	cream.cutaneous
47	amp	886611000001106	1304000V0AAAFAF	Hydrocortisone 2.5% cream (Alliance Healthcare (Distribution) Ltd)	cream.cutaneous
48	amp	4193611000001102	1304000V0AAAFAF	Hydrocortisone 2.5% cream (Teva UK Ltd)	cream.cutaneous
49	amp	14943911000001101	1304000V0AAAFAF	Hydrocortisone 2.5% cream (Essential Generics Ltd)	cream.cutaneous
50	amp	17922711000001101	1304000V0AAAFAF	Hydrocortisone 2.5% cream (Phoenix Healthcare Distribution Ltd)	cream.cutaneous
51	amp	22043311000001101	1304000V0AAAFAF	Hydrocortisone 2.5% cream (Waymade Healthcare Plc)	cream.cutaneous
52	amp	24151411000001109	1304000V0AAAFAF	Hydrocortisone 2.5% cream (DE Pharmaceuticals)	cream.cutaneous
53	amp	29872711000001100	1304000V0AAAFAF	Hydrocortisone 2.5% cream (Sigma Pharmaceuticals Plc)	cream.cutaneous
54	amp	30209411000001103	1304000V0AAAFAF	Hydrocortisone 2.5% cream (Mawdsley-Brooks & Company Ltd)	cream.cutaneous
55	amp	33337711000001100	1304000V0AACFCF	Nystatin 100,000units/g / Chlorhexidine hydrochloride 1% / Hydrocortisone 0.5% cream (Typharm Ltd)	cream.cutaneous
56	amp	34838411000001106	1304000V0AACFCF	Nystatin 100,000units/g / Chlorhexidine hydrochloride 1% / Hydrocortisone 0.5% cream (Alliance Healthcare (Distribution) Ltd)	cream.cutaneous
57	amp	34895211000001109	1304000V0AACFCF	Nystatin 100,000units/g / Chlorhexidine hydrochloride 1% / Hydrocortisone 0.5% cream (A A H Pharmaceuticals Ltd)	cream.cutaneous
58	amp	645811000001104	1304000V0BBAAAW	Dioderm 0.1% cream (Dermal Laboratories Ltd)	cream.cutaneous
59	amp	151811000001101	1304000V0BDAAAC	Efcortelan 0.5% cream (Chemidex Pharma Ltd)	cream.cutaneous
60	amp	575811000001106	1304000V0BDABAD	Efcortelan 1% cream (Chemidex Pharma Ltd)	cream.cutaneous
61	amp	703211000001100	1304000V0BFAAAD	Zenoxone 1% cream (Teva UK Ltd)	cream.cutaneous
62	amp	674411000001103	1304000V0BKABCG	Econacort cream (Bristol-Myers Squibb Pharmaceuticals Ltd)	cream.cutaneous
63	amp	157311000001104	1304000V0BNAAAW	Dermacort hydrocortisone 0.1% cream (Marlborough Pharmaceuticals Ltd)	cream.cutaneous
64	amp	4774211000001104	1304000V0BQAAAD	Mildison Lipocream 1% cream (Karo Pharma)	cream.cutaneous
65	amp	646411000001105	1304000V0BTAAAJ	Eurax Hydrocortisone cream (Novartis Consumer Health UK Ltd)	cream.cutaneous
66	amp	179411000001100	1304000V0BTABAJ	Eurax Hc cream (Thornton & Ross Ltd)	cream.cutaneous
67	amp	2929511000001101	1304000V0BWAAAN	Alphaderm 1%/10% cream (Alliance Pharmaceuticals Ltd)	cream.cutaneous
68	amp	536911000001105	1304000V0BXAAAP	Calmurid HC cream (Galderma (UK) Ltd)	cream.cutaneous
69	amp	595711000001105	1304000V0BZABCA	Vioform-Hydrocortisone cream (Novartis Consumer Health UK Ltd)	cream.cutaneous
70	amp	93111000001108	1304000V0CBABCB	Timodine cream (Alliance Pharmaceuticals Ltd)	cream.cutaneous
71	amp	3693411000001103	1304000V0CCABCC	Terra-Cortril Nystatin cream (Pfizer Ltd)	cream.cutaneous
72	amp	3088811000001101	1304000V0CFABCF	Nystaform HC cream (Typharm Ltd)	cream.cutaneous
73	amp	859911000001101	1304000V0CGABCH	Daktacort 2%/1% cream (Janssen-Cilag Ltd)	cream.cutaneous
74	amp	125711000001105	1304000V0CHABCI	Canesten HC cream (Bayer Plc)	cream.cutaneous
75	amp	507311000001100	1304000V0CHACCI	Canesten Hydrocortisone cream (Bayer Plc)	cream.cutaneous
76	amp	301011000001105	1304000V0CRAACH	Daktacort Hydrocortisone cream (McNeil Products Ltd)	cream.cutaneous
77	amp	18543211000001102	1304000V0CVAAAN	Hydromol HC Intensive cream (Alliance Pharmaceuticals Ltd)	cream.cutaneous
78	amp	18746311000001100	1304000V0CWAAAD	Hydrocortisone Bite and Sting Relief 1% cream (Galpharm International Ltd)	cream.cutaneous
79	amp	3356211000001107	1304000W0BBAAAA	Locoid 0.1% cream (LEO Pharma)	cream.cutaneous
80	amp	3357011000001104	1304000W0BBABAA	Locoid 0.1% Lipocream (LEO Pharma)	cream.cutaneous
81	amp	137411000001107	1304000W0BBAECA	Locoid C cream (Astellas Pharma Ltd)	cream.cutaneous
82	amp	4928011000001106	1304000X0BEAAAA	Lanacort 1% cream (Reckitt Benckiser Healthcare (UK) Ltd)	cream.cutaneous
