jm.code,jm.term,os.type,os.id,os.bnf_code,os.nm
0302000,Corticosteroids (respiratory),,,,
0302000C0,Beclometasone dipropionate,,,,
0302000C0AAAAAA,Beclometasone 50micrograms/dose inhaler,amp,3175711000001102,0302000C0AAAAAA,Beclometasone 50micrograms/dose inhaler (A A H Pharmaceuticals Ltd)
0302000C0AAAAAA,Beclometasone 50micrograms/dose inhaler,amp,3175911000001100,0302000C0AAAAAA,Beclometasone 50micrograms/dose inhaler (Mylan)
0302000C0AAAAAA,Beclometasone 50micrograms/dose inhaler,amp,3176711000001105,0302000C0AAAAAA,Beclometasone 50micrograms/dose inhaler (Kent Pharmaceuticals Ltd)
0302000C0AAAAAA,Beclometasone 50micrograms/dose inhaler,amp,3177111000001107,0302000C0AAAAAA,Beclometasone 50micrograms/dose inhaler (Alliance Healthcare (Distribution) Ltd)
0302000C0AAAAAA,Beclometasone 50micrograms/dose inhaler,amp,4773611000001100,0302000C0AAAAAA,Beclometasone 50micrograms/dose inhaler (Teva UK Ltd)
0302000C0AAAAAA,Beclometasone 50micrograms/dose inhaler,amp,11400011000001108,0302000C0AAAAAA,Beclometasone 50micrograms/dose inhaler (Almus Pharmaceuticals Ltd)
0302000C0AAAAAA,Beclometasone 50micrograms/dose inhaler,amp,17793411000001101,0302000C0AAAAAA,Beclometasone 50micrograms/dose inhaler (Phoenix Healthcare Distribution Ltd)
0302000C0AAAAAA,Beclometasone 50micrograms/dose inhaler,vmp,35909511000001107,0302000C0AAAAAA,Beclometasone 50micrograms/dose inhaler
0302000C0AA,Beclometasone dipropionate (Inhalation),,,,
0302000C0AAABAB,Beclometasone 100micrograms/dose inhaler,amp,3178211000001102,0302000C0AAABAB,Beclometasone 100micrograms/dose inhaler (A A H Pharmaceuticals Ltd)
0302000C0AAABAB,Beclometasone 100micrograms/dose inhaler,amp,3178411000001103,0302000C0AAABAB,Beclometasone 100micrograms/dose inhaler (Mylan)
0302000C0AAABAB,Beclometasone 100micrograms/dose inhaler,amp,3179011000001102,0302000C0AAABAB,Beclometasone 100micrograms/dose inhaler (Alliance Healthcare (Distribution) Ltd)
0302000C0AAABAB,Beclometasone 100micrograms/dose inhaler,amp,4773811000001101,0302000C0AAABAB,Beclometasone 100micrograms/dose inhaler (Teva UK Ltd)
0302000C0AAABAB,Beclometasone 100micrograms/dose inhaler,amp,7379111000001102,0302000C0AAABAB,Beclometasone 100micrograms/dose inhaler (Kent Pharmaceuticals Ltd)
0302000C0AAABAB,Beclometasone 100micrograms/dose inhaler,amp,11400511000001100,0302000C0AAABAB,Beclometasone 100micrograms/dose inhaler (Almus Pharmaceuticals Ltd)
0302000C0AAABAB,Beclometasone 100micrograms/dose inhaler,amp,17794111000001108,0302000C0AAABAB,Beclometasone 100micrograms/dose inhaler (Phoenix Healthcare Distribution Ltd)
0302000C0AAABAB,Beclometasone 100micrograms/dose inhaler,vmp,320537007,0302000C0AAABAB,Beclometasone 100micrograms/dose inhaler
0302000C0AAACAC,Beclometasone 250micrograms/dose inhaler,amp,3179811000001108,0302000C0AAACAC,Beclometasone 250micrograms/dose inhaler (A A H Pharmaceuticals Ltd)
0302000C0AAACAC,Beclometasone 250micrograms/dose inhaler,amp,3180011000001102,0302000C0AAACAC,Beclometasone 250micrograms/dose inhaler (Mylan)
0302000C0AAACAC,Beclometasone 250micrograms/dose inhaler,amp,3180911000001103,0302000C0AAACAC,Beclometasone 250micrograms/dose inhaler (Alliance Healthcare (Distribution) Ltd)
0302000C0AAACAC,Beclometasone 250micrograms/dose inhaler,amp,4774011000001109,0302000C0AAACAC,Beclometasone 250micrograms/dose inhaler (Teva UK Ltd)
0302000C0AAACAC,Beclometasone 250micrograms/dose inhaler,amp,7379311000001100,0302000C0AAACAC,Beclometasone 250micrograms/dose inhaler (Kent Pharmaceuticals Ltd)
0302000C0AAACAC,Beclometasone 250micrograms/dose inhaler,amp,11400811000001102,0302000C0AAACAC,Beclometasone 250micrograms/dose inhaler (Almus Pharmaceuticals Ltd)
0302000C0AAACAC,Beclometasone 250micrograms/dose inhaler,amp,17833911000001100,0302000C0AAACAC,Beclometasone 250micrograms/dose inhaler (Phoenix Healthcare Distribution Ltd)
0302000C0AAACAC,Beclometasone 250micrograms/dose inhaler,vmp,35908811000001103,0302000C0AAACAC,Beclometasone 250micrograms/dose inhaler
0302000C0AAAEAE,Beclometasone 100microgram inhalation powder capsules,,,,
0302000C0AAAFAF,Beclometasone 200microgram inhalation powder capsules,vmp,320535004,0302000C0AAAFAF,Beclometasone 200microgram inhalation powder capsules
0302000C0AAAGAG,Beclometasone 100microgram inhalation pdr blist with device,vmp,35907711000001105,0302000C0AAAGAG,Beclometasone 100microgram inhalation powder blisters with device
0302000C0AAAHAH,Beclometasone 200microgram inhalation pdr blist with device,vmp,35908311000001107,0302000C0AAAHAH,Beclometasone 200microgram inhalation powder blisters with device
0302000C0AAAIAI,Beclometasone 400microgram inhalation powder capsules,vmp,320520000,0302000C0AAAIAI,Beclometasone 400microgram inhalation powder capsules
0302000C0AAAJAJ,Beclometasone 400microgram inhalation pdr blist with device,vmp,35909011000001104,0302000C0AAAJAJ,Beclometasone 400microgram inhalation powder blisters with device
0302000C0AAAKAK,Beclometasone 200microgram inhalation powder blisters,vmp,35908211000001104,0302000C0AAAKAK,Beclometasone 200microgram inhalation powder blisters
0302000C0AAALAL,Beclometasone 100microgram inhalation powder blisters,vmp,35907611000001101,0302000C0AAALAL,Beclometasone 100microgram inhalation powder blisters
0302000C0AAANAN,Salbutamol 100microg/dose / Beclometasone 50microg/dose inh,,,,
0302000C0AAAPAP,Salbutamol 400microg/Beclometasone 200microg pdr caps,,,,
0302000C0AAAQAQ,Beclometasone 400microgram inhalation powder blisters,vmp,35908911000001108,0302000C0AAAQAQ,Beclometasone 400microgram inhalation powder blisters
0302000C0AAARAR,Beclometasone 200micrograms/dose inhaler,amp,4332611000001107,0302000C0AAARAR,Beclometasone 200micrograms/dose inhaler (A A H Pharmaceuticals Ltd)
0302000C0AAARAR,Beclometasone 200micrograms/dose inhaler,amp,15052211000001104,0302000C0AAARAR,Beclometasone 200micrograms/dose inhaler (Sigma Pharmaceuticals Plc)
0302000C0AAARAR,Beclometasone 200micrograms/dose inhaler,vmp,35908511000001101,0302000C0AAARAR,Beclometasone 200micrograms/dose inhaler
0302000C0AAASAS,Beclometasone 50micrograms/dose breath actuated inhaler,vmp,35909211000001109,0302000C0AAASAS,Beclometasone 50micrograms/dose breath actuated inhaler
