month,name,practice,items
2020-10-01,HERTS URGENT CARE E/N OOH,Y01061,1
2020-12-01,DGS OOH (INTEGRATED CARE 24 LTD),Y04426,1
2021-05-01,SLOAN HUB,Y05154,1
2020-09-01,URGENT CARE CTR (FCMS) OOH,Y00301,1
2021-04-01,EXTENDED ACCESS PCD SAME DAY HC,Y06259,1
2020-09-01,TOGETHER FIRST,Y04886,1
2020-09-01,UPPER LEA VALLEY EXT ACCESS HUB,Y06764,1
2021-04-01,"UCC, H&F CENTRES FOR HEALTH",Y03504,1
2020-11-01,INTERMEDIATE CARE,P82661,1
2020-09-01,CARE UK OOH,Y02989,1
2020-12-01,CORBY URGENT CARE CENTRE,Y03571,1
2020-10-01,THOMAS LINACRE MEDICAL,Y05614,1
2021-03-01,LCWUCC - IUC NCL,Y05493,1
2020-08-01,STAFFORDSHIRE DOCTORS URGENT CARE OOH,Y03700,1
2020-11-01,STORT VALLEY & VILLAGES PCN HUB,Y06759,1
2020-10-01,GP HEALTHCARE ALLIANCE - ASHINGDON,Y05006,1
2021-03-01,LUTON EXTENDED ACCESS SERVICE,Y06148,1
2020-10-01,BSW IUC OOH,Y00776,1
2020-12-01,LCW HAM+FUL CCG OOH,Y04922,1
2021-04-01,LCW CLCCG OOH,Y04920,1
2021-05-01,WELHAT EXTENDED ACCESS HUB,Y06762,1
2020-08-01,WHITBY GP OOH,Y06333,1
2021-04-01,HUC WEST ESSEX OOH,Y06380,1
2020-09-01,GTD HEALTHCARE CHORLEY OOH,Y05609,1
2021-04-01,UC24 - LIVERPOOL EXTENDED ACCESS SERVICE,Y06197,1
2020-07-01,EAST LANCS MEDICAL SERVICE OOH,Y02068,1
2021-05-01,THE LANCASHIRE EU OF GPS LIMITED,Y04988,1
2021-05-01,GLOUCESTER (CARE UK) OOH,Y05731,1
2020-07-01,NDUC NORTHUMBERLAND OOH,Y00661,1
2020-12-01,PRIMARY CARE EXTENDED HOURS,Y05168,1
2020-12-01,IC24 LTD (HORSHAM & MID SUSSEX OOH),Y04587,1
2020-07-01,IC24 LTD (BRIGHTON & HOVE OOH),Y01086,1
2020-09-01,NOTTINGHAM NHS URGENT CARE CENTRE,Y00108,1
2020-10-01,MASTERCALL OOH,Y00597,1
2020-12-01,LCWUCC - IUC NCL,Y05493,1
2020-12-01,"UCC, H&F CENTRES FOR HEALTH",Y03504,1
2020-09-01,STEVENAGE NORTH PCN HUB,Y06780,1
2021-04-01,SWGP LTD,Y06203,1
2021-05-01,NORTHAMPTON EXTENDED ACCESS,Y06268,1
2020-09-01,STAR SCHEME EXTENDED,Y05107,1
2020-12-01,(FRACTURE CLINIC) NORTH OOH,Y00082,1
