month,name,practice,items
2020-09-01,FELLVIEW HEALTHCARE,A82044,13
2020-09-01,HOLLAND HOUSE SURGERY,P81077,22
2020-09-01,PRIORY MEDICAL GROUP,B82005,22
2020-12-01,THE SPA SURGERY,B82027,17
2021-02-01,THE CORNERSTONE PRACTICE,P81734,15
2021-02-01,HUGHENDEN VALLEY SURGERY,K82049,14
2021-01-01,ABBEY GRANGE MEDICAL PRACTICE,B86068,16
2021-01-01,EASTGATE MEDICAL GROUP,B82060,21
2020-08-01,THE MORTIMER MEDICAL PRAC,M81043,21
2021-03-01,BEWICKE MEDICAL CENTRE,A87013,17
2021-03-01,HUGHENDEN VALLEY SURGERY,K82049,16
2020-11-01,SEATON PARK MEDICAL GROUP,A84028,17
2020-11-01,PRIORY VIEW MEDICAL CENTRE,B86024,14
2020-10-01,LYTHAM ROAD SURGERY,P81015,16
2020-10-01,ST MARKS MEDICAL CENTRE (TCG MEDICAL),N84021,25
2020-07-01,BEECH HILL MEDICAL PRACTICE,P92010,13
2020-07-01,NEWLANDS MEDICAL CENTRE,A81035,14
2021-04-01,LIBRARY HOUSE SURGERY,P81044,21
2021-04-01,THE ATHERSTONE SURGERY,M84019,13
2020-09-01,EASTGATE MEDICAL GROUP,B82060,14
2020-09-01,HIGHFIELD SURGERY,B86004,14
2020-12-01,THE VILLAGE GREEN SURGERY,A87016,19
2020-12-01,OAKENHURST MEDICAL PRACTICE,P81125,22
2020-12-01,COLLINGWOOD HEALTH GROUP,A87004,29
2021-01-01,THE VILLAGE GREEN SURGERY,A87016,21
2021-01-01,FRENCH WEIR HEALTH CENTRE,L85001,13
2020-08-01,WHITBY GROUP PRACTICE,B82017,13
2020-08-01,MCKENZIE HOUSE SURGERY,A81044,13
2021-02-01,ST FILLAN'S MEDICAL CTRE,P81018,19
2021-01-01,WEST LODGE SURGERY,B86050,20
2020-11-01,BEECH TREE SURGERY,B82041,13
2020-11-01,THE RYAN MEDICAL CENTRE,P81082,15
2021-04-01,MONKSEATON MEDICAL CENTRE,A87020,18
2021-04-01,EASTGATE MEDICAL GROUP,B82060,16
2020-10-01,LAKESIDE HEALTHCARE ST NEOTS,D81057,22
2020-09-01,THE TICKHILL & COLLIERY MEDICAL PRACTICE,C86013,17
2020-09-01,RISING BROOK,M83036,16
2020-09-01,PRIORY VIEW MEDICAL CENTRE,B86024,13
2020-12-01,WATERLOO MEDICAL CENTRE,P81016,15
2020-12-01,CARLISLE HEALTHCARE,A82016,14
2020-12-01,ELMWOOD FAMILY DOCTORS,B85006,14
2021-02-01,ALDERLEY EDGE MEDICAL CENTRE,N81033,13
2021-01-01,KNUTSFORD MEDICAL PARTNERSHIP,N81049,15
2021-01-01,BRIDGE STREET SURGERY,D82015,15
2020-08-01,THE SPA SURGERY,B82027,13
2021-03-01,VESPER ROAD,B86041,14
2020-11-01,ST. PETERS HILL SURGERY,C83040,18
2020-12-01,THE CRESCENT SURGERY,P81092,19
2020-07-01,ROTHSCHILD HOUSE GROUP,E82001,15
2020-07-01,LANCASTER MEDICAL PRACTICE,P81002,15
2021-04-01,BRAMLEY VILLAGE HEALTH & WELLBEING CTR,B86104,13
2020-10-01,LANCASTER MEDICAL PRACTICE,P81002,21
2020-11-01,DR L FREEMAN & PARTNERS,B86006,25
2020-07-01,BLOOMFIELD MEDICAL CENTRE,P81115,16
2020-09-01,THE CORNERSTONE PRACTICE,P81734,16
2021-02-01,BEWICKE MEDICAL CENTRE,A87013,17
2020-08-01,BEWICKE MEDICAL CENTRE,A87013,17
2021-03-01,GREAT OAKLEY MEDICAL CENTRE,K83622,14
2021-03-01,CROMWELL MEDICAL CENTRE,E82079,15
2020-11-01,CARN TO COAST HEALTH CENTRES,L82041,14
2020-10-01,EASTGATE MEDICAL GROUP,B82060,16
2020-12-01,CUMBERLAND HOUSE SURGERY,N84005,14
2020-07-01,EASTGATE MEDICAL GROUP,B82060,17
2021-04-01,BEECH TREE SURGERY,B82041,16
2021-04-01,GREAT OAKLEY MEDICAL CENTRE,K83622,14
2020-12-01,LANCASTER MEDICAL PRACTICE,P81002,20
2020-09-01,CENTRAL HEALTHCARE,B82038,17
2020-12-01,LINTHORPE SURGERY,A81026,13
2020-12-01,BELLBROOKE SURGERY,B86081,22
2020-08-01,UNITY HEALTH,K82047,15
2020-08-01,GLENROYD MEDICAL CENTRE,P81072,14
2021-03-01,GREAT SUTTON MEDICAL CENTRE,N81050,19
2020-11-01,ST. MARY'S HEALTH CENTRE,P81213,15
2020-10-01,THE VILLAGE GREEN SURGERY,A87016,20
2020-12-01,RIVERSIDE HEALTH CENTRE,C84094,15
2020-07-01,MIDLANDS MEDICAL PARTNERSHIP,M85063,15
2020-07-01,WESTMORELAND GP CENTRE,N82037,14
2021-04-01,AYTON AND SNAINTON MEDICAL PRACTICE,B82063,13
2020-09-01,CENTRAL SURGERY,M84023,19
2020-12-01,HAXBY GROUP PRACTICE,B82026,13
2021-05-01,ORCHARD MEDICAL PRACTICE,C84051,13
2021-01-01,BEECH TREE SURGERY,B82041,17
2020-11-01,COLLINGWOOD HEALTH GROUP,A87004,28
2020-12-01,WESTERN ELMS & CIRCUIT LANE SURGERIES,K81062,13
2020-12-01,YORK MEDICAL GROUP,B82083,17
2020-12-01,DR L FREEMAN & PARTNERS,B86006,14
2020-11-01,BRIDGE STREET SURGERY,D82015,16
2020-09-01,WHITWORTH MEDICAL CENTRE,P81088,13
2020-12-01,QUEEN CAMEL MEDICAL CENTRE,L85044,16
2021-05-01,CARLISLE HEALTHCARE,A82016,16
2021-01-01,WELLFIELD MEDICAL CENTRE,P84074,18
2020-08-01,MONKSEATON MEDICAL CENTRE,A87020,13
2020-11-01,PORTSDOWN GROUP PRACTICE,J82155,19
2020-07-01,"PRACTICE 3, MEDICAL CENTRE, BRIDLINGTON",B81069,17
2020-07-01,YORK MEDICAL GROUP,B82083,14
2021-04-01,PORTUGAL PLACE HEALTH CTR,A87003,14
2021-04-01,ALDERLEY EDGE MEDICAL CENTRE,N81033,14
2020-11-01,PRIORY MEDICAL GROUP,B82005,25
2020-07-01,THE VILLAGE GREEN SURGERY,A87016,19
2020-12-01,WEST POINT MEDICAL CENTRE,P84027,18
2021-04-01,GP AT HAND,E85124,14
2020-09-01,AVENUE SURGERY,J83018,14
2020-09-01,STICKNEY SURGERY,C83055,20
2020-09-01,THE VILLAGE GREEN SURGERY,A87016,19
2021-02-01,BURN BRAE MEDICAL GROUP,A84024,15
2021-01-01,NEW MEDICAL CENTRE,B86033,13
2020-08-01,VESPER ROAD,B86041,14
2021-03-01,SEAFORD MEDICAL PRACTICE,G81029,14
2020-10-01,DARWIN MEDICAL CENTRE,M83617,15
2020-07-01,WESTERN ELMS & CIRCUIT LANE SURGERIES,K81062,18
2020-07-01,RAILWAY MEDICAL GROUP,A84009,22
2021-05-01,DR SPENCER & PARTNERS,K83037,16
2021-04-01,HOLLAND HOUSE SURGERY,P81077,17
2020-09-01,THE MORTIMER MEDICAL PRAC,M81043,14
2021-05-01,PEEL HOUSE MEDICAL PRACTICE,P81036,14
2021-05-01,LANCASTER MEDICAL PRACTICE,P81002,15
2020-08-01,GROVE MEDICAL PRACTICE,D81030,14
2021-01-01,THE DE PARYS GROUP,E81037,15
2021-01-01,SEATON PARK MEDICAL GROUP,A84028,15
2020-11-01,VESPER ROAD,B86041,21
2020-11-01,STICKNEY SURGERY,C83055,17
2020-12-01,LEEN VIEW SURGERY,C84043,13
2020-07-01,THE OVER-WYRE MED.CTR.,P81087,13
2021-04-01,MOWBRAY HOUSE SURGERY,B82050,31
2020-09-01,LEIGH VIEW MEDICAL PRACTICE,B86064,15
2021-04-01,WEST POINT MEDICAL CENTRE,P84027,18
2021-01-01,CROMWELL MEDICAL CENTRE,E82079,19
2020-09-01,ALNWICK MEDICAL GROUP,A84006,18
2020-12-01,EASTGATE MEDICAL GROUP,B82060,14
2020-12-01,HEATH LANE MEDICAL CENTRE,N81009,14
2021-01-01,THE CENTRAL SURGERY BARTON,B81005,21
2021-01-01,CONSETT MEDICAL CENTRE,A83018,15
2021-03-01,CARLISLE HEALTHCARE,A82016,15
2021-03-01,CONSETT MEDICAL CENTRE,A83018,13
2020-11-01,LYTHAM ROAD SURGERY,P81015,14
2020-10-01,BEECH TREE SURGERY,B82041,15
2020-10-01,CONSETT MEDICAL CENTRE,A83018,16
2020-10-01,THREE CHEQUERS MEDICAL PRACTICE,J83026,13
2020-11-01,ALNWICK MEDICAL GROUP,A84006,21
2020-07-01,BEDLINGTONSHIRE MED.GROUP,A84005,13
2020-09-01,HEREFORD MEDICAL GROUP,M81026,13
2020-12-01,KING'S MEDICAL PRACTICE,B87039,16
